T0;Tr;Tpco;Tpm;Tzco;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
2.750000;15.441232;38.800155;53.314512;51.170790;78.125000;0.005612;0.005612;15.000000;0.109930;0.505069;0.505069
2.650000;15.857169;38.854625;52.718784;50.664799;78.375000;0.005535;0.005535;15.000000;0.105157;0.498121;0.498121
2.650000;16.219810;38.786255;52.308459;50.303389;78.375000;0.005415;0.005415;15.000000;0.104424;0.487334;0.487334
2.650000;16.530694;38.651793;52.101817;50.111439;78.375000;0.005258;0.005258;15.000000;0.106298;0.473233;0.473233
2.650000;16.793866;38.490685;52.077120;50.085861;78.375000;0.005070;0.005070;15.000000;0.109079;0.456313;0.456313
2.650000;17.014536;38.323580;52.185590;50.195884;78.375000;0.004856;0.004856;15.000000;0.111270;0.437020;0.437020
2.750000;17.204873;38.150996;52.303260;50.354664;78.125000;0.004619;0.004619;15.000000;0.110073;0.415705;0.415705
2.750000;17.360971;37.958038;52.422755;50.525698;78.125000;0.004363;0.004363;15.000000;0.107375;0.392695;0.392695
2.750000;17.485586;37.729905;52.509594;50.682610;78.125000;0.004092;0.004092;15.000000;0.103031;0.368315;0.368315
2.650000;17.573328;37.454716;52.604501;50.841281;78.375000;0.003810;0.003810;15.000000;0.099052;0.342912;0.342912
2.750000;17.640013;37.123197;52.593473;50.939733;78.125000;0.003520;0.003520;15.000000;0.091688;0.316756;0.316756
2.750000;17.677700;36.721319;52.511152;50.968649;78.125000;0.003223;0.003223;15.000000;0.083945;0.290108;0.290108
2.650000;17.678874;36.243356;52.424921;50.975952;78.375000;0.002926;0.002926;15.000000;0.078010;0.263303;0.263303
2.650000;17.650931;35.691009;52.319452;50.972202;78.375000;0.002630;0.002630;15.000000;0.071890;0.236659;0.236659
2.650000;17.598426;35.295197;52.045917;50.670173;78.375000;0.002949;0.002949;20.000000;0.067358;0.265451;0.265451
2.650000;17.537035;35.117657;51.561454;50.128726;78.375000;0.003220;0.003220;20.000000;0.067428;0.289834;0.289834
2.650000;17.477721;35.080395;51.085575;49.554882;78.375000;0.003498;0.003498;20.000000;0.073259;0.314824;0.314824
2.650000;17.426872;35.147162;50.797905;49.124545;78.375000;0.003782;0.003782;20.000000;0.084076;0.340360;0.340360
2.650000;17.389032;35.314028;50.785911;48.939352;78.375000;0.004070;0.004070;20.000000;0.097767;0.366329;0.366329
2.650000;17.368449;35.591108;51.033883;49.009004;78.375000;0.004362;0.004362;20.000000;0.111757;0.392577;0.392577
2.600000;17.365861;35.985497;51.485325;49.289997;78.500000;0.004655;0.004655;20.000000;0.124694;0.418927;0.418927
2.600000;17.388989;36.490263;51.998658;49.676708;78.500000;0.004946;0.004946;20.000000;0.134011;0.445150;0.445150
2.600000;17.440061;37.077420;52.469040;50.066644;78.500000;0.005233;0.005233;20.000000;0.139376;0.470975;0.470975
2.600000;17.519039;37.706299;52.831971;50.391823;78.500000;0.005512;0.005512;20.000000;0.141193;0.496121;0.496121
2.500000;17.616561;38.338598;53.132759;50.662873;78.750000;0.005782;0.005782;20.000000;0.142026;0.520364;0.520364
2.600000;17.743621;38.941572;53.244099;50.808478;78.500000;0.006038;0.006038;20.000000;0.138750;0.543450;0.543450
2.600000;17.886770;39.481317;53.246325;50.848464;78.500000;0.006280;0.006280;20.000000;0.134859;0.565165;0.565165
2.600000;18.039936;39.943240;53.170974;50.814774;78.500000;0.006504;0.006504;20.000000;0.131032;0.585384;0.585384
2.500000;18.190452;40.330341;53.119464;50.776129;78.750000;0.006712;0.006712;20.000000;0.129547;0.604084;0.604084
2.500000;18.341926;40.657909;53.061250;50.736464;78.750000;0.006903;0.006903;20.000000;0.128272;0.621270;0.621270
2.500000;18.491202;40.936462;53.009468;50.699068;78.750000;0.007077;0.007077;20.000000;0.127386;0.636952;0.636952
2.500000;18.636089;41.175638;52.969090;50.669247;78.750000;0.007235;0.007235;20.000000;0.126831;0.651167;0.651167
2.500000;18.775178;41.383817;52.941934;50.649685;78.750000;0.007377;0.007377;20.000000;0.126515;0.663967;0.663967
2.500000;18.907662;41.567705;52.927230;50.640726;78.750000;0.007505;0.007505;20.000000;0.126329;0.675415;0.675415
2.500000;19.033162;41.732199;52.922434;50.640940;78.750000;0.007618;0.007618;20.000000;0.126177;0.685580;0.685580
2.500000;19.151569;41.880508;52.924101;50.647815;78.750000;0.007717;0.007717;20.000000;0.125980;0.694533;0.694533
2.500000;19.262930;42.014459;52.928662;50.658418;78.750000;0.007804;0.007804;20.000000;0.125690;0.702344;0.702344
2.500000;19.367355;42.134902;52.933008;50.669951;78.750000;0.007879;0.007879;20.000000;0.125286;0.709083;0.709083
2.500000;19.464974;42.242120;52.934855;50.680141;78.750000;0.007942;0.007942;20.000000;0.124774;0.714818;0.714818
