T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2;;Uchyb;B³¹d wzglêdny uchybu
02.cze;19.403221;44.070731;52.891794;50.496493;50.45;78.5;0.011111;0.011111;20;0.133042;1;1;19.403221;20;;0.596779;2.98%
02.maj;19.604161;44.16356;53.103593;50.666387;50.625;78.75;0.011111;0.011111;20;0.134818;1;1;19.604161;20;;0.395839;1.98%
02.cze;19.7913;44.203699;52.820149;50.488024;50.45;78.5;0.011111;0.011111;20;0.129597;1;1;19.7913;20;;0.2087;1.04%
02.cze;19.955566;44.212242;52.808982;50.473724;50.45;78.5;0.011111;0.011111;20;0.129594;1;1;19.955566;20;;0.044434;0.22%
02.cze;20.099838;44.229337;52.795619;50.467924;50.45;78.5;0.011111;0.011111;20;0.129146;1;1;20.099838;20;;0.099838;0.5%
02.maj;20.221002;44.298966;53.024809;50.644502;50.625;78.75;0.011111;0.011111;20;0.131507;1;1;20.221002;20;;0.221002;1.11%
02.maj;20.331364;44.371045;52.995171;50.650892;50.625;78.75;0.011111;0.011111;20;0.129624;1;1;20.331364;20;;0.331364;1.66%
02.maj;20.431019;44.416925;52.974584;50.648966;50.625;78.75;0.011111;0.011111;20;0.128559;1;1;20.431019;20;;0.431019;2.16%
02.maj;20.520195;44.447795;52.957795;50.645316;50.625;78.75;0.011111;0.011111;20;0.127814;1;1;20.520195;20;;0.520195;2.6%
02.maj;20.599572;44.470009;52.944421;50.641538;50.625;78.75;0.011111;0.011111;20;0.127272;1;1;20.599572;20;;0.599572;3,00%
02.maj;20.670014;44.487172;52.93378;50.638299;50.625;78.75;0.011111;0.011111;20;0.126853;1;1;20.670014;20;;0.670014;3.35%
02.maj;20.732429;44.501261;52.925216;50.635737;50.625;78.75;0.011111;0.011111;20;0.126511;1;1;20.732429;20;;0.732429;3.66%
02.maj;20.787691;44.513333;52.918202;50.633783;50.625;78.75;0.011111;0.011111;20;0.126221;1;1;20.787691;20;;0.787691;3.94%
02.maj;20.836609;44.523941;52.912345;50.632305;50.625;78.75;0.011111;0.011111;20;0.125968;1;1;20.836609;20;;0.836609;4.18%
02.maj;20.879909;44.53338;52.90737;50.631178;50.625;78.75;0.011111;0.011111;20;0.125745;1;1;20.879909;20;;0.879909;4.4%
02.maj;20.918242;44.541819;52.903082;50.630301;50.625;78.75;0.011111;0.011111;20;0.125546;1;1;20.918242;20;;0.918242;4.59%
02.maj;20.952182;44.549368;52.899348;50.629599;50.625;78.75;0.011111;0.011111;20;0.125369;1;1;20.952182;20;;0.952182;4.76%
02.maj;20.982236;44.556114;52.896072;50.629023;50.625;78.75;0.011111;0.011111;20;0.125212;1;1;20.982236;20;;0.982236;4.91%
